States,Antenatal Care,No Method,Female Sterilization,IUD/PPIUD,Pill,Condom,Other Methods
Nagaland,9.2,75.8,8.5,6.4,3.2,1,5.1
Bihar,13,77.4,19.8,0.4,0.7,0.8,0.9
Uttar Pradesh,21.7,57.9,18.1,0.9,1.7,7.9,13.5
Arunachal Pradesh,23.6,66.7,12.1,3.4,10.5,1.2,6.1
Jharkhand,24.8,61.7,30.5,0.9,2.4,1.4,3.1
India,44.8,48.3,36.1,1.1,4.3,3.9,6.3
Jammu & Kashmir,78.8,45.9,21.9,2.4,6.5,9.9,13.4
Tamil Nadu,81,47.7,49.4,1.4,0.1,0.5,0.9
Puducherry,81.7,39.1,54.8,3.7,0.4,1.2,0.8
Andaman and Nicobar Islands,89.5,43.2,43.4,2.6,2.5,5.3,3
Kerala,91.7,47.1,45.9,1.7,0.1,2.2,3
