States,Household Decisions,Spousal Violence,Paid in Cash,Property,Bank Account,Menstrual Hygiene
Uttar Pradesh,80.3,39.3,15.7,35.7,52.6,39.9
Chattisgarh,89.9,37.1,40.6,27.3,47.6,39.4
Madhya Pradesh,80.8,35.4,33.5,44.7,31.4,26.4
Assam,86.2,26.2,16.7,53.7,42.1,40.9
Mizoram,95.6,17.6,21.4,27.8,38.8,88.6
Bihar,74.8,43.7,12.6,60.9,24.6,27.3
Jharkhand,86.7,38.8,28.3,49.5,40.9,39.4
Rajasthan,80.1,26.2,19.3,24.5,55.2,47.9
Odisha,81.1,37.9,23.2,65.2,53.7,42.8
Andhra Pradesh,80.4,43.6,48.2,45.6,69.9,63
Gujarat,84.2,24.8,28.9,25.2,42.2,53.5
Uttarakhand,88.2,13.1,14.4,30.4,54.6,65
Sikkim,95,4.2,18.2,28.5,59.7,80.8
Telangana,80.3,47.6,60.8,58.2,58.7,67.2
Himachal Pradesh,90,5.2,15.5,11.6,67.5,83.7
Karnataka,78,20.4,29,57.5,52.1,62.1
Punjab,90.5,20.9,19.1,30.9,54.9,80.7
Haryana,76.4,37.1,16.8,36.6,41.5,75.9
Nagaland,97.2,13.6,21.2,41.1,27.3,66.1
West Bengal,89,36.9,22.3,22.8,38.3,47.6
Meghalaya,91.1,30.4,36.7,66.6,49.9,57.1
Jammu & Kashmir,82.5,10.6,11,33.5,55.4,60.2
Tripura,89.7,32.4,27.5,57.8,54.8,38.6
Puducherry,74.2,37.5,20.1,36.6,74.8,97.8
Manipur,96,56.1,39,68.1,29.7,73.3
Maharashtra,89.4,26.2,35.5,33.3,38.7,55.7
Arunachal Pradesh,89,31.4,16.7,59,51.1,71.1
Tamil Nadu,84.7,44.2,35.7,37.9,78.3,89.5
Andaman and Nicobar Islands,94.2,17.4,18.9,32.1,74.9,87.9
Kerala,92.4,14.8,19.4,38.4,70.8,88.5
