name,borough,extant,cast,materials,MaintainedByParks
A Bird Named Goldilocks,Staten Island,Y,1995,Bronze (brown patina),Y         
Abingdon Square Doughboy,Manhattan,Y,ca. 1921,"Bronze, Deer Isle granite",Y         
Amphibian,the Bronx,Y,ca. 1936,Stone,
Abram Stevens Hewitt,Manhattan,Y,ca. 1906,Westerly granite,
Accounts,Manhattan,Y,ca. 1912,Maine granite,
Admiral George Dewey Memorial,Manhattan,Y,1973,"Bronze, Barre granite (Presbry-Leland Company)",Y         
Adoption of the Constitution,the Bronx,Y,ca. 1937,Bronze,Y         
Æsculapius,Manhattan,Y,ca. 1931,Bronze,
African Antelopes,Manhattan,Y,1935,Indiana limestone,Y         
Alamo,Manhattan,Y,ca. 1967,Cor-Ten steel (painted black),Y         
Alben Square Flagstaff,Brooklyn,Y,ca. 1935,"Concrete, bronze, brick terrace",Y         
Alfred Lincoln Seligman Fountain,Manhattan,Y,ca. 1914,Bronze,Y         
Alfred Tredway White,Brooklyn,Y,circa 1923,bas-relief--bronze; boulder--fieldstone,
Alice in Wonderland,Manhattan,Y,1959,"Bronze, Chelmsford granite",Y         
Allerton Avenue Bridge Plaques,the Bronx,Y,ca. 1905,Bronze,Y         
Altman Memorial Fountain,Manhattan,N,1955,Stone,
Altman Plaque,Manhattan,N,ca. 1958,Bronze,
Amalgamated Dwellings Plaque,Manhattan,N,ca. 1941,Bronze,
American Antelopes,Manhattan,Y,1935,Indiana limestone,
American Boy,the Bronx,Y,ca. 1932,Figure and pedestal--Indiana limestone; plaque--bronze,Y         
American Flagstaff,the Bronx,Y,ca. 1975 (?),base--concrete; plaques--bronze,
American Legion Flagstaff,Manhattan,N,1941,Base--cast stone; Original plaque--bronze; Replacement tablet--granite with bronze decorations,
American Memorial to Six Million Jews of Europe,Manhattan,Y,1947,Barre granite,Y         
American Merchant Mariners Memorial,Manhattan,Y,1991,Figures--bronze; lifeboat--fiber-reinforced concrete; concrete,
American Merchant Mariners Memorial Plaque,Manhattan,Y,1991,"Bronze, granite",Y         
American Museum of Natural History Plaque,Manhattan,M,ca. 1931,Bronze,
American Museum of Natural History Tablet,Manhattan,Y,ca. 1929,Carrara marble with bronze letters,Y         
American Redout Marker,Manhattan,Y,1910,Boulders and concrete,Y         
Americans Creed,Brooklyn,Y,ca. 1923,bronze,
Amiable Child Memorial,Manhattan,Y,1967,Original headstone--sandstone; First replacement urn and pedestal--white Vermont marble; Second replacement urn and pedestal--light grey Barre granite,Y         
Andrew Heiskell Plaza,Manhattan,Y,ca. 1993,Granite,
Annadale Memorial,Staten Island,Y,ca. 1953,Bronze,Y         
Anthony R. Gaeta Memorial,Staten Island,Y,1994,Plaque--bronze; slab--Canadian granite,Y         
Antonin Dvorak,Manhattan,Y,ca. 1960,Figure and plaque: bronze; base: Brazilian green granite (verde lavros),Y         
Archimedes,Brooklyn,Y,1934,,
Archimedes,Brooklyn,Y,1934,,
Architecture,Manhattan,Y,ca. 1905,Westerly granite,
Argonne-Marine Memorial Oval Marker,Brooklyn,Y,ca. 1971,Barre granite (honed finish on face),Y         
Armed Forces Plaque,Manhattan,Y,ca. 1953,"Bronze, Barre granite",Y         
Armenian Grove Plaque,Manhattan,Y,ca. 1985,"Bronze, granite",Y         
Armillary Sphere,Manhattan,Y,1971,"Bronze, cast stone",Y         
Armillary Sphere and Sundial,Queens,N,1961,"Bronze, granite and bluestone",
Arsenal Landmark Plaque,Manhattan,Y,1958,Aluminum,Y         
Arsenal Mural,Manhattan,Y,1937,Oil on canvas applied to walls,Y         
Arthur Brisbane Monument,Manhattan,Y,ca. 1939,Swenson's pink granite,Y         
Arthur Cunningham,Queens,Y,1941,Bronze,Y         
Astoria Park War Memorial,Queens,Y,1926,"Concord, Massachusetts granite",Y         
Athena,Queens,Y,ca. 1998,Figure--bronze; pedestal--green granite,Y         
Australian Tree Marker,Manhattan,Y,1929,"Bronze, Georgia granite",Y         
Authority,Manhattan,Y,ca. 1906,figure--Westerly granite; pedestal--Barre light granite,
Autumn,Manhattan,Y,ca. 1903,Westerly granite,
Avenue of the United Nations Marker,Queens,M,ca. 1964,Granite,
Baboon and Mandrill,Manhattan,Y,1935,Indiana limestone,
Bacchante and Infant Faun,Manhattan,Y,ca. 1920 (?),Bronze,
Bailey Fountain,Brooklyn,Y,1931,Figures and pedestal--bronze; Basin--stone; Basin coping--aglomerated rocks,Y         
Baird Court Dolphin Fountains,the Bronx,Y,ca. 1937 (?),,
Baisley Pond Park Memorial,Queens,Y,ca. 1921,Granite,Y         
Balto,Manhattan,Y,ca. 1925,Figure--bronze; Tablet--slate; Natural boulder--Manhattan schist,Y         
Bartel-Pritchard Circle Columns,Brooklyn,Y,ca. 1906,Columns and plinths--granite; tripods and bowls--bronze,Y         
Bartel-Pritchard Circle War Memorial,Brooklyn,Y,ca. 1965,"Black granite (polished), inscription--gold leaf",Y         
Baruch Park Plaque,Manhattan,M,ca. 1939,bronze,
Battery Park Cannon,Manhattan,Y,ca. 1914,Cannon--iron; base--granite; plaque--aluminum,Y         
Battery Park Underpass Marker,Manhattan,Y,ca. 1951,bronze,
Battle of Harlem Heights Marker,Manhattan,Y,ca. 1961,"Bronze, granite",Y         
Battle Pass Historic Marker,Brooklyn,Y,1991,"Bronze, granite",Y         
Bayside Civil War Boulder,Queens,Y,1935,"Granite, bronze",Y         
Bayside War Memorial,Queens,Y,ca. 1925,"Marble, granite",
Beach and Sea Lion,the Bronx,Y,ca. 1936,Stone,
Beacon,Brooklyn,Y,2004,Bronze,Y         
Beauty,Manhattan,Y,ca. 1920,Carrara marble (dull finish),
Bernard M. Baruch Bench Plaque,Manhattan,N,ca. 1976,original plaque--bronze; replacement tablet--marble; platform--stone,
Bernard M. Baruch Memorial,Manhattan,L,1953,"Bust--bronze; Pedestal, stele, and platform--black granite",Y         
Bernard M. Baruch Plaque,Manhattan,M,1965,Bronze,
Betsy Head Fountain,Brooklyn,N,ca. 1917,bronze,
Bicentennial Veterans Memorial,the Bronx,Y,ca. 1976,Granite paver,
Bigger Bird,Queens,N,ca. 1986,"Steel poles, wire mesh",
"Bill ""Bojangles"" Robinson Mural",Manhattan,Y,"November 1, 1991","Mural--aluminum panels (¼"" thick, coated with Duranar Fluoropolymer); plaque--bronze",Y         
Bird Flying Machine,Manhattan,Y,1973,Bronze,Y         
Boar,Manhattan,Y,ca. 1972,Boar--bronze; Pedestal--granite,Y         
Bound Hands Rising Free,Brooklyn,Y,"January, 2000",Bronze; granite,Y         
Bowdoin Horse Trough I,Queens,Y,ca. 1909,Trough--(Deer Isle?) granite; Filling--concrete,Y         
Bowling Green Fountain,Manhattan,Y,1977,"Concrete, bluestone coping",Y         
Bowling Green Marker,Manhattan,Y,1938,"Bronze, Milford pink granite",Y         
Breakwater Memorial Flagstaffs,Manhattan,N,ca. 1900,Pedestals--granite; Ornaments--zinc; Plaques--bronze,
Bronx Victory Memorial,the Bronx,Y,1925,"Bronze, Rockport and Deer Isle granite",Y         
Broadway Starship,Staten Island,N,1985,Oak with brass fittings,
Bronx Local Board #2 World War Memorial,the Bronx,Y,ca. 1920,Column---Quincy granite; Plaque---bronze,Y         
Bronx Victory Memorial,the Bronx,Y,1933,Column--Cordova Texas limestone; Figure--bronze; Bas-reliefs--limestone; 4 urns--limestone; 2 urns--terra cotta,Y         
Caribou,Manhattan,Y,1935,Indiana limestone,
Brooklyn Korean War Veterans Plaza,Brooklyn,Y,1992,Gate and flagstaff base--granite; Steps and wheelchair ramp--concrete,Y         
Brooklyn War Memorial,Brooklyn,Y,ca. 1951,Limestone,Y         
Buffalo Hunt,Manhattan,Y,1916,,
Burnett Memorial Fountain,Manhattan,Y,1926,Figures--bronze; Pedestal---Milford pink granite; Tablet--slate,Y         
Bushwick War Memorial,Brooklyn,Y,1920,Tennessee pink marble,Y         
Bushwick-Ridgewood Memorial,Brooklyn,Y,1919,Figure--bronze; Pedestal--Westerly granite,Y         
Cactus Couple,Manhattan,Y,1985,Forms--serpentine marble (nubs unpolished); Base--white marble (unpolished) and Formica; Box--wood,Y         
Cadwallader David Colden,Manhattan,Y,ca. 1905,Westerly granite,
Caleb Heathcote,Manhattan,Y,ca. 1904,Westerly granite,
Call of the Sea,Brooklyn,Y,ca. 1936,bronze,
Captain Roald Amundsen Plaque,Staten Island,Y,ca. 1933,Bronze,Y         
Carmine Street Pool Mural,Manhattan,Y,August 1987,Paint,Y         
