Group,Optimized,ThresholdA,ThresholdB,F1a,F1b,F2a,F2b,F3a,F3b,F4a,F4b,F5a,F5b,Accuracy,PPV,FPR,FNR,Tpa,Fna,Fpa,Tna,Tpb,Fnb,Fpb,Tnb
Race,1,0.5,0.4,0.6638,0.6687,0.2573,0.6454,0.1663,0.4756,0.6063,0.6486,0.4312,2.1687,0.6704,0.637,0.3054,0.3585,328,494,213,1068,1329,332,720,794
Race,1,0.5,0.5,0.6638,0.6687,0.2573,0.4992,0.1663,0.3223,0.6063,0.6921,0.4312,0.8652,0.6704,0.6638,0.2364,0.4411,328,494,213,1068,1097,564,488,1026
Race,1,0.7,0.6,0.6358,0.6261,0.0523,0.2835,0.0211,0.1407,0.7545,0.7633,0.0365,0.2187,0.6332,0.7583,0.0758,0.7152,83,739,27,1254,687,974,213,1301
Race,1,0.8,0.6,0.6215,0.6261,0.0238,0.2835,0.0094,0.1407,0.76,0.7633,0.0153,0.2187,0.6278,0.7623,0.069,0.7351,38,784,12,1269,687,974,213,1301
Race,2,0.2,0.3,0.456,0.5795,0.8997,0.8926,0.8642,0.8283,0.4149,0.5575,29.9189,15.4815,0.5146,0.4832,0.8531,0.0452,785,37,1107,174,1580,81,1254,260
Race,3,0.7,0.9,0.6358,0.5036,0.0523,0.0375,0.0211,0.0112,0.7545,0.8571,0.0365,0.0109,0.5702,0.7847,0.0175,0.9235,83,739,27,1254,102,1559,17,1497
Race,3,0.8,0.9,0.6215,0.5036,0.0238,0.0375,0.0094,0.0112,0.76,0.8571,0.0153,0.0109,0.5648,0.8154,0.0107,0.9434,38,784,12,1269,102,1559,17,1497
Race,3,0.9,0.9,0.6153,0.5036,0.0081,0.0375,0.0016,0.0112,0.8824,0.8571,0.0025,0.0109,0.5622,0.8639,0.0059,0.9548,15,807,2,1279,102,1559,17,1497
Race,4,0.4,0.3,0.6486,0.5795,0.3923,0.8926,0.2896,0.8283,0.5503,0.5575,1.0082,15.4815,0.6178,0.556,0.5305,0.2047,454,368,371,910,1580,81,1254,260
Race,4,0.7,0.6,0.6358,0.6261,0.0523,0.2835,0.0211,0.1407,0.7545,0.7633,0.0365,0.2187,0.6332,0.7583,0.0758,0.7152,83,739,27,1254,687,974,213,1301
Race,4,0.8,0.6,0.6215,0.6261,0.0238,0.2835,0.0094,0.1407,0.76,0.7633,0.0153,0.2187,0.6278,0.7623,0.069,0.7351,38,784,12,1269,687,974,213,1301
Race,5,0.7,0.8,0.6358,0.5351,0.0523,0.0923,0.0211,0.0357,0.7545,0.8157,0.0365,0.038,0.5864,0.7857,0.0285,0.8747,83,739,27,1254,239,1422,54,1460
Race,5,0.8,0.9,0.6215,0.5036,0.0238,0.0375,0.0094,0.0112,0.76,0.8571,0.0153,0.0109,0.5648,0.8154,0.0107,0.9434,38,784,12,1269,102,1559,17,1497
Race,5,0.9,0.9,0.6153,0.5036,0.0081,0.0375,0.0016,0.0112,0.8824,0.8571,0.0025,0.0109,0.5622,0.8639,0.0059,0.9548,15,807,2,1279,102,1559,17,1497
Gender,1,0.4,0.4,0.662,0.6706,0.5765,0.2996,0.4179,0.2139,0.6227,0.5369,1.8056,0.7277,0.6636,0.6134,0.3717,0.2941,1794,602,1087,1514,189,224,163,599
Gender,1,0.4,0.7,0.662,0.6647,0.5765,0.0349,0.4179,0.0144,0.6227,0.7317,1.8056,0.0287,0.6625,0.6242,0.3265,0.3507,1794,602,1087,1514,30,383,11,751
Gender,1,0.4,0.79,0.662,0.6604,0.5765,0.0204,0.4179,0.0066,0.6227,0.7917,1.8056,0.0127,0.6617,0.6241,0.3247,0.3546,1794,602,1087,1514,19,394,5,757
Gender,1,0.4,0.89,0.662,0.6562,0.5765,0.0077,0.4179,0,0.6227,1,1.8056,0,0.6609,0.6239,0.3232,0.3581,1794,602,1087,1514,9,404,0,762
Gender,1,0.5,0.4,0.6622,0.6706,0.4431,0.2996,0.2895,0.2139,0.6599,0.5369,0.8053,0.7277,0.6638,0.643,0.2724,0.4126,1461,935,753,1848,189,224,163,599
Gender,1,0.5,0.7,0.6622,0.6647,0.4431,0.0349,0.2895,0.0144,0.6599,0.7317,0.8053,0.0287,0.6627,0.6612,0.2272,0.4692,1461,935,753,1848,30,383,11,751
Gender,1,0.5,0.79,0.6622,0.6604,0.4431,0.0204,0.2895,0.0066,0.6599,0.7917,0.8053,0.0127,0.6619,0.6613,0.2254,0.4731,1461,935,753,1848,19,394,5,757
Gender,1,0.5,0.89,0.6622,0.6562,0.4431,0.0077,0.2895,0,0.6599,1,0.8053,0,0.661,0.6613,0.2239,0.4767,1461,935,753,1848,9,404,0,762
Gender,2,0.7,0.5,0.5906,0.7055,0.1221,0.1285,0.05,0.0551,0.7869,0.7219,0.0678,0.1382,0.6124,0.774,0.0511,0.7903,480,1916,130,2471,109,304,42,720
