PC,IMR,"Sex ratio (Females per 1,000 males)",Women with 10 or more years of schooling (In %),Average out of pocket expenditure per delivery in public health facility (In Rs),Institutional births (In %),Diarrhoea prevalence (reported) among children aged 0-5 years in the last 2 weeks preceding the survey (In %),Stunting among children under 5 (In %),Wasting among children under  (In %),Underweight among children under 5 (In %),Anaemia prevalence among children aged 6-59 months (In %),Anaemia prevalence among women (In %)
NAGALAND,14,966,34,6265,33,4,26,10,14,22,24
LAKHIMPUR,47,1012,31,3389,83,2,31,13,24,40,44
DIBRUGARH,50,1012,22,3289,82,3,34,18,32,47,51
JORHAT,53,987,36,3247,91,3,30,11,20,35,38
TEZPUR,54,1024,32,3333,85,1,29,16,25,29,43
KALIABOR,56,1000,28,2872,83,1,32,14,23,35,42
MANGALDOI,55,981,29,3772,77,2,34,17,29,41,46
KOKRAJHAR,55,976,25,3137,67,1,34,17,28,37,44
AUTONOMOUS DISTRICT,57,982,15,2814,50,0,28,18,23,24,39
BARPETA,49,965,26,2985,67,1,35,18,28,36,42
NOWGONG,62,1010,20,2914,69,4,38,11,28,36,39
GAUHATI,50,984,29,3758,79,2,34,18,29,38,48
DHUBRI,61,971,20,3291,57,2,45,22,39,39,51
SILCHAR,53,992,28,4090,71,6,36,30,36,30,51
KARIMGANJ,56,980,22,3164,58,3,38,22,34,28,46
LADAKH,34,1002,44,2632,91,3,30,9,18,91,78
BARAMULLA,34,948,30,3755,92,7,29,9,13,69,63
SRINAGAR,34,970,36,4629,98,4,23,14,16,61,65
ANANTANAG,34,973,34,3368,92,5,20,7,9,47,47
UDHAMPUR,34,970,41,4573,79,3,33,13,20,48,42
JAMMU,34,981,40,4656,82,3,29,14,20,45,36
KASARAGOD,12,1066,66,6851,100,5,21,9,12,40,36
KANNUR,12,1092,70,7043,100,3,25,10,10,44,37
WAYANAD,12,1032,66,5167,99,3,23,19,21,46,37
VADAKARA,12,1062,71,6055,100,3,21,11,14,41,40
KOZHIKODE,12,1033,73,5068,100,2,18,13,18,39,42
MALAPPURAM,12,998,65,6201,99,3,26,22,17,54,38
PALAKKAD,12,971,63,4336,100,6,20,10,19,41,42
PONNANI,12,985,64,5269,99,4,23,16,18,47,40
ALATHUR (SC),12,1023,69,4695,100,3,20,12,16,40,42
THRISSUR,12,1075,76,5053,100,0,20,15,14,39,42
CHALAKUDY,12,1075,79,2526,100,1,16,15,13,31,39
IDUKKI,12,1020,77,3205,100,2,13,20,13,26,31
ERNAKULAM,12,1075,82,0,100,3,12,15,12,23,37
KOTTAYAM,12,1052,82,3129,100,1,17,16,11,28,33
ALAPPUZHA,12,1071,76,9885,99,3,14,17,15,21,26
PATHANAMTHITTA,12,1066,79,6863,100,2,17,15,11,26,25
MAVELIKKARA (SC),12,1057,78,8677,99,2,16,17,14,25,27
KOLLAM,12,1042,79,10299,99,2,14,18,14,18,25
ATTINGAL,12,1122,68,8787,100,2,19,13,21,20,22
THIRUVANANTHAPURA,12,1122,68,8787,100,2,19,13,21,20,22
TIRUVALLUR (SC),20,980,56,2075,99,7,30,23,26,50,55
ARAKKONAM,20,1008,53,1777,99,8,29,25,29,50,55
CHENNAI NORTH,20,1006,63,1946,99,9,30,20,21,47,54
SRIPERUMBUDUR,20,972,57,2346,99,5,27,18,21,47,54
VELLORE,20,1037,49,1479,100,8,29,27,32,50,55
CHENNAI CENTRAL,20,1032,70,1818,100,10,30,18,17,44,53
CHENNAI SOUTH,20,998,64,2217,100,7,27,16,16,44,53
KANCHEEPURAM (SC),20,964,58,2617,100,3,25,13,16,45,53
KRISHNAGIRI,20,1009,50,2108,95,10,25,20,23,52,47
ARANI,20,1028,42,1846,97,11,28,25,31,57,60
TIRUVANNAMALAI,20,1024,46,1722,98,9,26,31,33,54,57
DHARMAPURI,20,1009,49,2014,98,7,25,27,25,54,57
VILUPPURAM (SC),20,1046,42,1727,99,11,31,16,28,57,62
KALLAKURICHI,20,1023,47,1980,98,10,29,19,25,53,59
SALEM,20,1000,51,2233,97,8,27,22,22,50,55
TIRUPPUR,20,997,50,2434,99,8,26,18,19,47,50
CUDDALORE,20,1026,46,3150,98,6,28,19,25,53,59
NILGIRIS (SC),20,1017,53,2345,99,8,28,22,23,49,50
NAMAKKAL,20,1004,50,2297,98,7,26,18,20,49,52
CHIDAMBARAM (SC),20,1078,47,2860,99,11,26,18,23,54,59
PERAMBALUR,20,1078,49,1992,99,10,27,20,26,56,60
ERODE,20,1004,48,2400,100,7,25,15,17,50,48
MAYILADUTHURAI,20,1065,47,2487,99,6,25,18,22,48,54
COIMBATORE,20,994,51,2429,99,7,27,21,22,43,54
KARUR,20,1052,48,2298,99,7,28,22,27,50,56
POLLACHI,20,994,51,2429,99,7,27,21,22,43,54
TIRUCHIRAPPALLI,20,1067,51,2302,99,5,28,19,26,52,60
THANJAVUR,20,1065,48,2482,99,6,27,21,26,53,58
NAGAPATTINAM (SC),20,1071,47,3048,99,5,26,19,26,47,55
DINDIGUL,20,1019,42,2344,99,8,31,26,29,43,51
SIVAGANGA,20,1142,49,3523,99,7,23,19,23,48,54
MADURAI,20,1007,48,3141,98,9,21,12,19,54,52
THENI,20,1010,46,2588,97,7,24,13,20,52,51
RAMANATHAPURAM,20,1089,43,4644,98,7,26,18,24,48,53
VIRUDHUNAGAR,20,1043,44,4840,97,8,25,15,22,53,54
TENKASI (SC),20,1101,39,5545,97,7,30,15,24,56,57
THOOTHUKKUDI,20,1135,46,2585,99,7,21,12,17,56,59
TIRUNELVELI,20,1124,40,4552,99,6,30,12,22,61,59
KANNIYAKUMARI,20,1110,73,5025,99,6,17,9,12,37,44
JALPAIGURI (SC),28,988,21,4945,82,7,32,18,26,64,68
COOCHBEHAR (SC),28,1008,20,6268,81,5,32,20,29,58,69
ALIPURDUARS (ST),28,988,21,4945,82,7,32,18,26,64,68
DARJEELING,28,1007,24,4005,70,6,34,12,30,55,55
RAIGANJ,28,1023,17,3700,47,7,40,14,34,64,62
BALURGHAT,28,1023,19,6887,63,8,36,15,31,65,69
MALDAHA UTTAR,28,1019,19,2969,55,5,37,22,37,55,59
MALDAHA DAKSHIN,28,1051,20,17225,59,6,39,20,35,50,58
JANGIPUR,28,1083,22,31481,63,7,41,17,34,46,57
MURSHIDABAD,28,1049,23,17312,78,5,32,14,26,41,57
BAHARAMPUR,28,1083,22,31481,63,7,41,17,34,46,57
KRISHNANAGAR,28,1015,24,3143,93,3,23,10,19,36,57
RANAGHAT (SC),28,1015,24,3143,93,3,23,10,19,36,57
BANGAON (SC),28,998,29,3701,90,4,23,12,18,45,59
BASIRHAT,28,981,35,4259,86,5,23,13,18,53,62
BARASAT,28,981,35,4259,86,5,23,13,18,53,62
BARRACKPUR,28,981,35,4259,86,5,23,13,18,53,62
DUM DUM,28,981,35,4259,86,5,23,13,18,53,62
JAYNAGAR (SC),28,1037,22,3742,52,5,27,20,27,65,66
MATHURAPUR (SC),28,1037,22,3742,52,5,27,20,27,65,66
JADAVPUR,28,1037,22,3742,52,5,27,20,27,65,66
DIAMOND HARBOUR,28,1037,22,3742,52,5,27,20,27,65,66
KOLKATA DAKSHIN,28,979,36,12293,73,6,25,18,23,67,56
KOLKATA UTTAR,28,921,49,20845,95,6,24,17,19,70,46
HOWRAH,28,1001,33,4738,86,4,34,14,28,56,58
ULUBERIA,28,1001,33,4738,86,4,34,14,28,56,58
SREERAMPUR,28,1028,29,3693,88,5,32,16,28,55,60
HOOGHLY,28,1055,26,2648,91,7,30,18,28,53,63
ARAMBAG (SC),28,1052,25,2686,84,6,29,23,34,53,65
TAMLUK,28,991,28,19550,74,7,29,24,32,42,59
GHATAL,28,1020,26,11137,75,6,29,26,36,47,63
KANTHI,28,991,28,19550,74,7,29,24,32,42,59
MEDINIPUR,28,1020,26,11137,75,6,29,26,36,47,63
JHARGRAM (ST),28,1016,20,2175,75,5,37,31,49,59,73
PURULIA,28,983,15,1625,72,6,45,34,58,66,80
BANKURA,28,992,19,3260,79,5,39,30,49,57,73
BISHNUPUR (SC),28,1007,24,3786,84,3,33,26,36,45,65
BARDHAMAN-DURGAPUR,28,1013,26,2677,82,2,32,25,33,44,63
BARDHAMAN PURBA(SC),28,1013,26,2677,82,2,32,25,33,44,63
BOLPUR (SC),28,990,24,2628,84,4,36,27,38,51,63
ASANSOL,28,1013,26,2677,82,2,32,25,33,44,63
BIRBHUM,28,968,22,2579,86,5,40,29,43,59,63
ADILABAD(ST),35,0,0,0,0,0,0,0,0,0,0
PEDDAPALLE (SC),35,1102,45,3734,97,14,24,19,25,52,52
SRIKAKULAM,39,1028,34,2938,91,5,28,15,28,70,71
ARAKU (ST),39,1017,35,2234,91,8,30,16,30,69,69
NIZAMABAD,35,1101,40,3647,94,11,30,20,30,59,54
KARIMNAGAR,35,1102,45,3734,97,14,24,19,25,52,52
