PC,IMR,"Sex ratio (Females per 1,000 males)",Women with 10 or more years of schooling (In %),Average out of pocket expenditure per delivery in public health facility (In Rs),Institutional births (In %),Diarrhoea prevalence (reported) among children aged 0-5 years in the last 2 weeks preceding the survey (In %),Stunting among children under 5 (In %),Wasting among children under  (In %),Underweight among children under 5 (In %),Anaemia prevalence among children aged 6-59 months (In %),Anaemia prevalence among women (In %),Rural_MPCE_URP,Urban_MPCE_URP,Rural_MPCE_MRP,Urban_MPCE_MRP,Rural_LFPR,Urban_LFPR
NAGALAND,14,966,34,6265,33,4,26,10,14,22,24,1724.337823375,2232.9461185,1752.50291225,2167.604079625,0.58551701216573,0.510879114117329
LAKHIMPUR,47,1012,31,3389,83,2,31,13,24,40,44,1161.609048,2156.5193862,1138.8438658,2131.2336234,0.541394678089408,0.5039204733278
DIBRUGARH,50,1012,22,3289,82,3,34,18,32,47,51,1193.123937,2172.9950295,1131.8091115,2200.6802195,0.552756607476385,0.526272389748169
JORHAT,53,987,36,3247,91,3,30,11,20,35,38,1129.612237,2401.0998265,1196.149273,2402.1979835,0.569978372002411,0.527665062756123
TEZPUR,54,1024,32,3333,85,1,29,16,25,29,43,1040.5332075,1821.4529675,1020.7809821,1812.4230585,0.534200907209726,0.478961504028648
KALIABOR,56,1000,28,2872,83,1,32,14,23,35,42,1029.14636563333,2500.340065,1093.69967396667,2585.595328,0.521174061234781,0.446722748527209
MANGALDOI,55,981,29,3772,77,2,34,17,29,41,46,1186.144684,1712.38947933333,1197.35407533333,1779.31346,0.460972163564716,0.493572093807923
KOKRAJHAR,55,976,25,3137,67,1,34,17,28,37,44,1096.722940825,2024.55058225,1153.4170455,2153.56343525,0.448004762372449,0.488962605339391
AUTONOMOUS DISTRICT,57,982,15,2814,50,0,28,18,23,24,39,879.65539045,1310.6554915,911.37587745,1393.1981595,0.541566696879969,0.455317871797174
BARPETA,49,965,26,2985,67,1,35,18,28,36,42,1130.83507033333,2049.08353633333,1187.983692,2191.06595766667,0.43389574773828,0.497087096770237
NOWGONG,62,1010,20,2914,69,4,38,11,28,36,39,1015.17450105,2243.5833305,1022.46883315,2305.1253185,0.443623638164187,0.425690255654141
GAUHATI,50,984,29,3758,79,2,34,18,29,38,48,1170.33268533333,2240.21171433333,1221.64905833333,2248.15163933333,0.448264676969327,0.523529601099853
DHUBRI,61,971,20,3291,57,2,45,22,39,39,51,1041.2945825,2246.894445,1077.54065145,2132.3038965,0.489236799492129,0.562674055100081
SILCHAR,53,992,28,4090,71,6,36,30,36,30,51,913.2538975,1210.664045,947.6791017,1238.409441,0.491930987509184,0.4493339626508
KARIMGANJ,56,980,22,3164,58,3,38,22,34,28,46,877.601144033333,1154.42974733333,891.639601866667,1156.90232533333,0.505593026670922,0.44299769412505
LADAKH,34,1002,44,2632,91,3,30,9,18,91,78,1406.391981,2245.37873,1479.730371,2334.356166,0,0
BARAMULLA,34,948,30,3755,92,7,29,9,13,69,63,1436.932619,1766.5861775,1427.4573375,1670.213574,0.379595977281643,0.445857938674729
SRINAGAR,34,970,36,4629,98,4,23,14,16,61,65,1436.2424455,2116.4005485,1535.7839385,2118.0496955,0.432408878703096,0.466954323909254
ANANTANAG,34,973,34,3368,92,5,20,7,9,47,47,1650.054577,1680.865616,1564.58294,1687.508973,0.379265363963519,0.392328609237108
UDHAMPUR,34,970,41,4573,79,3,33,13,20,48,42,1596.87331525,2248.367207,1665.26540875,2195.9960005,0.470816808511259,0.456592842805863
JAMMU,34,981,40,4656,82,3,29,14,20,45,36,1770.828721,2728.242356,1800.06618333333,2656.82960033333,0.437826271344859,0.518728360579706
