AN,Andaman & Nicobar Islands
AP,Zahirabad:Araku:Khammam:Medak:Anakapalli:Bhongir:Chevella:Srikakulam:Eluru:Secunderabad:Peddapalle:Rajahmundry:Nalgonda:Narsapuram:Nagarkurnool:Amlapuram:Narasaraopet:Machilipatnam:Guntur:Ongole:Bapatla:Kurnool:Karimnagar:Nizamabad:Vizianagaram:Kakinada:Adilabad:Rajampet:Nellore:Anantapur:Kadapa:Nandyal:Mahabubabad:Chittoor:Tirupati:Hindupur:Mahbubnagar:Vijayawada:Visakhapatnam:Warangal:Hyderabad:Malkajgiri
AR,Arunachal West:Arunachal East
AS,Lakhimpur:Dibrugarh:Jorhat:Tezpur:Kaliabor:Mangaldoi:Nagaon:Autonomous District:Dhubri:Karimganj:Silchar:Kokrajhar:Guwahati:Barpeta
BR,Muzaffarpur:Valmiki Nagar:Araria:Gopalganj:Siwan:Vaishali:Jhanjharpur:Supaul:Pashchim Champaran:Madhubani:Kishanganj:Darbhanga:Purnia:Maharajganj.:Madhepura:Begusarai:Arrah:Sasaram:Nawada:Banka:Nalanda:Katihar:Samastipur:Khagaria:Pataliputra:Buxar:Patna Sahib:Bhagalpur:Munger:Purba Champaran:Sheohar:Sitamarhi:Ujiapur:Hajipur:Karakat:Saran (Chhapra):Jamui:Aurangabad.:Gaya:Jahanabad
CG,Janjgir – Champa:Raipur:Surguja:Bilaspur:Rajnandgaon:Durg:Mahasamund:Raigarh.:Kanker:Bastar:Korba
CH,Chandigarh
DD,Daman & Diu
DL,West Delhi:North West Delhi:Chandni Chowk:North East Delhi:South Delhi:East Delhi:New Delhi
DN,Dadra & Nagar Haveli
GA,South Goa:North Goa
GJ,Bardoli:Junagadh:Surat:Kheda:Ahmadabad (West):Jamnagar:Sabar Kantha:Banas Kantha:Patan:Panch Mahals:Dohad:Vadodara:Anand:Amreli:Ahmadabad (East):Rajkot:Surendranagar:Navsari:Bharuch:Chhota Udaipur:Porbandar:Valsad:Gandhinagar:Mahesana:Bhavnagar:Kachchh
HP,Hamirpur.:Kangra:Shimla:Mandi
HR,Ambala:Krukshetra:Sirsa:Karnal:Sonipat:Hisar:Rohtak:Bhiwani – Mahendragarh:Gurgaon:Faridabad
JH,Jamshedpur:Singhbhum:Rajmahal:Dumka:Godda:Palamu:Hazaribagh:Dhanbad:Kodarma:Lohardaga:Khunti:Chatra:Ranchi:Giridih
JK,Leh (Ladakh):Jammu:Srinagar:Anantnag:Baramula:Udhampur
KA,Gulbarga:Bijapur:Chikkodi:Raichur:Koppal:Haveri:Davanagere:Chikkaballapura:Udupi Chikmagalur:Tumkur:Kolar:Bangalore Rural:Dharwad:Bangalore North:Dakshina Kannada:Mysore:Chamrajnagar:Mandya:Bellary:Chitradurga:Bidar:Uttara Kannada:Shimoga:Hassan:Belgaum:Bangalore South:Bangalore Central:Bagalkot
KL,Malappuram:Pathanamthitta:Mavelikkara:Thiruvananthapuram:Palakkad:Thrissur:Alathur:Kasaragod:Attingal:Vadakara:Kozhikode:Kannur:Chalakudy:Idukki:Alappuzha:Kottayam:Kollam:Ernakulam:Wayanad:Ponnani
MN,Inner Manipur:Outer Manipur
MP,Bhind:Balaghat:Hoshangabad:Dhar:Indore:Gwalior:Sidhi:Rajgarh:Sagar:Damoh:Shahdol:Dewas:Ujjain:Bhopal:Vidisha:Ratlam:Rewa:Satna:Mandsaur:Guna:Chhindwara:Betul:Khargone:Jabalpur:Mandla:Morena:Tikamgarh:Khajuraho:Khandwa
ML,Tura:Shillong
MH,Buldana:Madha:Satara:Jalgaon:Akola:Sangli:Solapur:Amravati:Ramtek:Nandurbar:Bhandara - Gondiya:Wardha:Shirur:Beed:Maval:Parbhani:Raigarh:Osmanabad:Hatkanangle:Dhule:Garhchiroli - Chimur:Raver:Biwandi:Dindori:Jalna:Aurangabad:Chandrapur:Nashik:Shirdi:Hingoli:Ahmadnagar:Palghar:Latur:Baramati:Ratnagiri - Sindhudurg:Kolhapur:Thane:Mumbai North:Mumbai North-West:Mumbai North-East:Mumbai North-Central:Mumbai South:Mumbai South-Central:Kalyan:Pune:Nanded:Yavatmal – Washim:Nagpur
MZ,Mizoram
NL,Nagaland
OD,Bhadrak:Jajapur:Sambalpur:Baleshwar:Kendujhar:Mayurbhanj:Sundargarh:Bargarh:Dhenkanal:Bolangir:Kalahandi:Kandhamal:Kendrapara:Cuttack:Bhubaneswar:Aska:Jagatsinghpur:Nabarangapur:Koraput:Puri:Berhampur.
PB,Jalandhar:Hoshiarpur:Fatehgarh Sahib:Firozpur:Patiala:Bathinda:Gurdaspur:Amritsar:Khadoor Sahib:Anandpur Sahib:Sangrur:Ludhiana:Faridkot
