Longitude,Latitude,Time,Precipitation Anomaly
1.25E,88.75S,0000 16 Jul 2000,3.462345
3.75E,88.75S,0000 16 Jul 2000,3.531896
6.25E,88.75S,0000 16 Jul 2000,3.469562
8.75E,88.75S,0000 16 Jul 2000,3.248108
11.25E,88.75S,0000 16 Jul 2000,3.06321
13.75E,88.75S,0000 16 Jul 2000,3.068011
16.25E,88.75S,0000 16 Jul 2000,3.127747
18.75E,88.75S,0000 16 Jul 2000,3.05395
21.25E,88.75S,0000 16 Jul 2000,2.910915
23.75E,88.75S,0000 16 Jul 2000,2.842193
26.25E,88.75S,0000 16 Jul 2000,2.699372
28.75E,88.75S,0000 16 Jul 2000,2.616916
31.25E,88.75S,0000 16 Jul 2000,2.528606
33.75E,88.75S,0000 16 Jul 2000,2.167255
36.25E,88.75S,0000 16 Jul 2000,2.017031
38.75E,88.75S,0000 16 Jul 2000,2.44097
41.25E,88.75S,0000 16 Jul 2000,2.631968
43.75E,88.75S,0000 16 Jul 2000,2.760555
46.25E,88.75S,0000 16 Jul 2000,2.877281
48.75E,88.75S,0000 16 Jul 2000,2.817965
51.25E,88.75S,0000 16 Jul 2000,2.759886
53.75E,88.75S,0000 16 Jul 2000,3.159043
56.25E,88.75S,0000 16 Jul 2000,4.977726
58.75E,88.75S,0000 16 Jul 2000,4.626749
61.25E,88.75S,0000 16 Jul 2000,4.463293
63.75E,88.75S,0000 16 Jul 2000,4.452746
66.25E,88.75S,0000 16 Jul 2000,4.359695
68.75E,88.75S,0000 16 Jul 2000,4.373874
71.25E,88.75S,0000 16 Jul 2000,4.332891
73.75E,88.75S,0000 16 Jul 2000,4.216784
76.25E,88.75S,0000 16 Jul 2000,4.20269
78.75E,88.75S,0000 16 Jul 2000,4.451429
81.25E,88.75S,0000 16 Jul 2000,4.543993
83.75E,88.75S,0000 16 Jul 2000,4.472015
86.25E,88.75S,0000 16 Jul 2000,4.238513
88.75E,88.75S,0000 16 Jul 2000,4.104576
91.25E,88.75S,0000 16 Jul 2000,4.134622
93.75E,88.75S,0000 16 Jul 2000,4.245528
96.25E,88.75S,0000 16 Jul 2000,4.254178
98.75E,88.75S,0000 16 Jul 2000,4.024924
101.25E,88.75S,0000 16 Jul 2000,4.204553
103.75E,88.75S,0000 16 Jul 2000,4.701358
106.25E,88.75S,0000 16 Jul 2000,4.870956
108.75E,88.75S,0000 16 Jul 2000,5.06023
111.25E,88.75S,0000 16 Jul 2000,5.15328
113.75E,88.75S,0000 16 Jul 2000,5.066186
116.25E,88.75S,0000 16 Jul 2000,4.971278
118.75E,88.75S,0000 16 Jul 2000,4.76795
121.25E,88.75S,0000 16 Jul 2000,4.46136
123.75E,88.75S,0000 16 Jul 2000,3.980834
126.25E,88.75S,0000 16 Jul 2000,3.487546
128.75E,88.75S,0000 16 Jul 2000,2.914985
131.25E,88.75S,0000 16 Jul 2000,2.658999
133.75E,88.75S,0000 16 Jul 2000,2.953995
136.25E,88.75S,0000 16 Jul 2000,3.392745
138.75E,88.75S,0000 16 Jul 2000,3.400889
141.25E,88.75S,0000 16 Jul 2000,3.5944
143.75E,88.75S,0000 16 Jul 2000,3.684847
146.25E,88.75S,0000 16 Jul 2000,3.697866
148.75E,88.75S,0000 16 Jul 2000,3.339006
151.25E,88.75S,0000 16 Jul 2000,3.32082
153.75E,88.75S,0000 16 Jul 2000,3.007975
156.25E,88.75S,0000 16 Jul 2000,2.140766
158.75E,88.75S,0000 16 Jul 2000,1.406303
161.25E,88.75S,0000 16 Jul 2000,0.9800582
163.75E,88.75S,0000 16 Jul 2000,-0.08474678
166.25E,88.75S,0000 16 Jul 2000,-1.261158
168.75E,88.75S,0000 16 Jul 2000,-2.740081
171.25E,88.75S,0000 16 Jul 2000,-3.651823
173.75E,88.75S,0000 16 Jul 2000,-4.199372
176.25E,88.75S,0000 16 Jul 2000,-3.85371
178.75E,88.75S,0000 16 Jul 2000,-3.62482
178.75W,88.75S,0000 16 Jul 2000,-3.98003
176.25W,88.75S,0000 16 Jul 2000,-6.004299
173.75W,88.75S,0000 16 Jul 2000,-7.292296
171.25W,88.75S,0000 16 Jul 2000,-9.091657
168.75W,88.75S,0000 16 Jul 2000,-10.48045
166.25W,88.75S,0000 16 Jul 2000,-10.56182
163.75W,88.75S,0000 16 Jul 2000,-10.71136
161.25W,88.75S,0000 16 Jul 2000,-10.96273
158.75W,88.75S,0000 16 Jul 2000,-11.07
156.25W,88.75S,0000 16 Jul 2000,-11.07318
153.75W,88.75S,0000 16 Jul 2000,-11.21636
151.25W,88.75S,0000 16 Jul 2000,-11.35682
148.75W,88.75S,0000 16 Jul 2000,-11.35727
146.25W,88.75S,0000 16 Jul 2000,-11.49682
143.75W,88.75S,0000 16 Jul 2000,-11.49546
141.25W,88.75S,0000 16 Jul 2000,-11.49273
138.75W,88.75S,0000 16 Jul 2000,-11.48955
